timestamp,content_airframe_registration,content_airframe_type_icao_value,content_airframe_wtc,content_arrival_aerodrome_actual_icao_value,content_arrival_aerodrome_scheduled_icao_value,content_arrival_time_inBlock_actual,content_arrival_time_landing_estimated,content_arrival_time_landing_scheduled,content_carrier_icao_quality,content_carrier_icao_value,content_departure_aerodrome_actual_icao_value,content_departure_aerodrome_scheduled_icao_value,content_departure_time_offBlock_estimated,content_departure_time_takeoff_actual,content_departure_time_takeoff_planned,content_departure_time_takeoff_scheduled,content_gufi,content_identification_callsign_quality,content_identification_callsign_value,content_identification_iataFlightNumber_quality,content_identification_iataFlightNumber_value,content_identification_squawk,content_movement_altitude_gps,content_movement_direction_heading,content_movement_position_lat,content_movement_position_lon,content_movement_speed_ground,content_movement_timestamp,content_movement_type,content_route_cruisingAltitude,content_route_cruisingSpeed,content_route_initialFlightRules,content_route_text,content_status
2017-03-01T22:11:02.589Z,,AT72,MEDIUM,,EVRA,,2017-03-01T08:30:00Z,2017-03-01T08:30:00Z,DERIVED,BEE,,ESSA,,,2017-03-01T07:35:00Z,2017-03-01T07:35:00Z,5a53282c-6365-4611-b43e-282cf2f087e0,,,DERIVED,BE1762,,,,,,,,,,202,,,SCHEDULED
2017-03-01T23:59:09.283Z,GJECI,DH8D,MEDIUM,EHAM,,,2017-03-01T16:32:00Z,,RECEIVED,BEE,EGCC,,2017-03-01T15:15:00Z,,,,0fca8cd9-2d0f-417f-bbdd-a62fc378ee3e,RECEIVED,BEE58G,,,,,,,,,,,,,IFR,N0314F250 SONEX L975 DESIG UL603 LAMSO,PLANNED
2017-03-01T22:30:42.341Z,,E170,MEDIUM,,EGCC,,2017-03-01T21:55:00Z,2017-03-01T21:55:00Z,DERIVED,BEE,,EGPD,,,2017-03-01T21:05:00Z,2017-03-01T21:05:00Z,8e6c321b-8fe3-4183-9c47-de53d1c16c22,,,DERIVED,BE1046,,,,,,,,,,278,,,SCHEDULED
2017-03-01T23:28:53.227Z,GJECY,DH8D,MEDIUM,EGNX,,,2017-03-01T13:21:00Z,,RECEIVED,BEE,EGPH,,2017-03-01T12:05:00Z,,,,24a4303d-b1c4-4630-b198-22c691951488,RECEIVED,BEE26D,,,,,,,,,,,,,IFR,N0314F230 TLA N864 DCS L612 CROFT,PLANNED
2017-03-01T23:52:33.909Z,GFBEM,E190,MEDIUM,EGPH,,,2017-03-01T17:56:00Z,,RECEIVED,BEE,EGFF,,2017-03-01T16:45:00Z,,,,dd7ed7ed-1724-4278-8e94-3b510addba3e,RECEIVED,BEE6FB,,,,,,,,,,,,,IFR,N0354F240 BCN N864 NITON/N0376F280 UP17 NOKIN UP16 RIBEL UN601 SHAPP/N0362F260 UN601 ABEVI/N0309F160 N601 INREV/N0309F160 N601 ESKDO/N0303F150,PLANNED
2017-03-01T20:39:06.046Z,,,,,,,,,DERIVED,BEE,,,,,,,24c5206b-ca16-4e93-9ce5-2538ecd5cdac,RECEIVED,BEE1878,,,,,245,51.35186,-0.02795,,2017-02-28T21:54:00Z,ESTIMATED,,,,,AIRBORNE
2017-03-01T23:27:31.987Z,GFBEM,E190,MEDIUM,EDDT,,,2017-03-01T12:14:00Z,,RECEIVED,BEE,EGFF,,2017-03-01T10:20:00Z,,,,faca68ae-c42c-4edc-bd0f-f91d68269860,RECEIVED,BEE9RH,,,,,,,,,,,,,IFR,N0422F350 BCN L9 CPT Q295 CLN UL620 ARNEM UP147 RKN UL980 MOBSA/N0396F310 DCT BATEL/N0312F170 BATEL3H,PLANNED
2017-03-01T23:34:03.901Z,GPRPF,DH8D,MEDIUM,EGPH,,,2017-02-28T23:51:00Z,,RECEIVED,BEE,EGBB,,2017-02-28T22:30:00Z,,,,e99ef8a2-97c2-4773-bda1-3fd57dc11e98,RECEIVED,BEE4KR,,,,,,,,,,,,,IFR,N0316F230 TNT/N0316F240 N57 POL N601 ESKDO,PLANNED
2017-03-01T20:41:05.832Z,GECOT,DH8D,MEDIUM,EGNX,,,2017-02-28T20:04:00Z,,RECEIVED,BEE,EGPF,,2017-02-28T18:50:00Z,,,,e7cbdd03-f937-452a-b330-9b54c6a0adc7,RECEIVED,BEE5GA,,,,,,,,,,,,,IFR,N0314F230 LUSIV L612 CROFT,PLANNED
2017-03-01T23:03:38.340Z,GECOC,DH8D,MEDIUM,EGPD,,,2017-02-28T13:32:00Z,,RECEIVED,BEE,EGCC,,2017-02-28T12:05:00Z,,,,4466cd90-ef66-4483-8d5e-a4cf2e77264c,RECEIVED,BEE5EC,,,,,,,,,,,,,IFR,N0311F240 POL N601 GRICE/N0240F230 P600 ADN DCT,PLANNED
2017-03-01T23:03:12.824Z,,DH8D,MEDIUM,,EGAC,,2017-03-01T07:50:00Z,2017-03-01T07:50:00Z,DERIVED,BEE,,EGCC,,,2017-03-01T07:10:00Z,2017-03-01T07:10:00Z,9b8b36d3-d50c-46f4-88f5-f80b108e74a5,,,DERIVED,BE470,,,,,,,,,,148,,,SCHEDULED
2017-03-01T23:28:19.943Z,,DH8D,MEDIUM,,EGPH,,2017-03-01T17:30:50Z,,DERIVED,BEE,,EGAC,,,2017-03-01T16:54:10Z,,2ee005f3-a980-46d0-9121-7f135709032b,,,DERIVED,BE690,,,,,,,,,,192,,,SCHEDULED
2017-03-01T20:44:01.796Z,GJECZ,DH8D,MEDIUM,LFPO,,,2017-02-28T08:38:00Z,,RECEIVED,BEE,EGHI,,2017-02-28T07:15:00Z,,,,1e6f0a69-e0c5-4b26-be0a-a89cf2575d44,RECEIVED,BEE146D,,,,,,,,,,,,,IFR,N0283F110 DCT SAM Y8 GWC/N0312F230 N859 SITET UN859 LGL/N0315F190 A34 BOBSA,PLANNED
2017-03-01T23:56:05.327Z,GJECJ,DH8D,MEDIUM,EGBB,,,2017-03-01T08:01:00Z,,RECEIVED,BEE,EGPF,,2017-03-01T06:45:00Z,,,,691b8424-8fc1-4920-9407-cf4f6ded042a,RECEIVED,BEE1LJ,,,,,,,,,,,,,IFR,N0316F250 LUSIV L612 DCS UL612 CROFT,PLANNED
